filename,document_name,risk_score,risk_band,num_risk_drivers
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.pdf,SOFTWARE DEVELOPMENT AGREEMENT,18,Low Risk,1
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement1.pdf,"STATEMENT OF WORK - APPENDIX A

Software Development Agreement",0,Low Risk,0
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1.pdf,MANUFACTURING AGREEMENT,18,Low Risk,1
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2.pdf,"AMENDMENT NO. 1

MANUFACTURING AGREEMENT",0,Low Risk,0
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4.pdf,"AMENDMENT NO. 3

 MANUFACTURING AGREEMENT",0,Low Risk,0
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3.pdf,"AMENDMENT NO. 2 

MANUFACTURING AGREEMENT",0,Low Risk,0
SLINGERBAGINC_05_27_2020-EX-10.7-CONSULTING AGREEMENT.PDF,CONSULTING AGREEMENT,0,Low Risk,0
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.PDF",CONSULTING AGREEMENT,18,Low Risk,1
SPHERE3DCORP_06_24_2020-EX-10.12-CONSULTING AGREEMENT.PDF,CONSULTING AGREEMENT,18,Low Risk,1
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT.PDF,CONSULTING AGREEMENT,10,Low Risk,1
EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC..PDF,CONSULTING AGREEMENT,0,Low Risk,0
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT.PDF",CONSULTING AGREEMENT,20,Low Risk,2
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.PDF",Consulting Agreement,38,Moderate Risk,3
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.PDF",CONSULTING AGREEMENT,10,Low Risk,1
PANDIONTHERAPEUTICSHOLDCOLLC_05_22_2020-EX-10.17-CONSULTING AGREEMENT.PDF,CONSULTING AGREEMENT,10,Low Risk,1
"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.PDF",CONSULTING AGREEMENT,28,Moderate Risk,2
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT.PDF,FRANCHISE AGREEMENT,63,High Risk,4
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1).PDF",CONSULTING AGREEMENT,35,Moderate Risk,2
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT.PDF,WEB SITE HOSTING AGREEMENT,0,Low Risk,0
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.PDF,HOSTING AGREEMENT,18,Low Risk,1
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.PDF,Premium Managed Hosting Agreement,0,Low Risk,0
DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT.PDF,Online Hosting Agreement,0,Low Risk,0
REGANHOLDINGCORP_03_31_2008-EX-10-LICENSE AND HOSTING AGREEMENT.PDF,LICENSE AND HOSTING AGREEMENT,18,Low Risk,1
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT.PDF,Franchise Agreement,63,High Risk,4
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT.PDF,AGENCY AGREEMENT,43,Moderate Risk,2
"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009.PDF",AGENCY AGREEMENT,25,Low Risk,1
"XACCT Technologies, Inc.SUPPORT AND MAINTENANCE AGREEMENT.PDF",Support and Maintenance Agreement,0,Low Risk,0
WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement.PDF,Yield Maintenance Agreement,0,Low Risk,0
NETZEEINC_11_14_2002-EX-10.3-MAINTENANCE AGREEMENT.PDF,MAINTENANCE AGREEMENT,0,Low Risk,0
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT.PDF,MAINTENANCE AGREEMENT,0,Low Risk,0
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.PDF,Services Agreement,0,Low Risk,0
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT.PDF,SERVICING AGREEMENT,0,Low Risk,0
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT.PDF,SERVICING AGREEMENT,18,Low Risk,1
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT.PDF,SERVICE AGREEMENT FOR TRANSFER AGENT SERVICES,0,Low Risk,0
"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement.PDF",SERVICES AGREEMENT,18,Low Risk,1
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement.PDF",Master Service Agreement,18,Low Risk,1
MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT.PDF,MASTER SERVICES AGREEMENT (,10,Low Risk,1
PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT.PDF,SERVICES AGREEMENT,0,Low Risk,0
SCOUTCAMINC_05_12_2020-EX-10.22-SERVICES AGREEMENT.PDF,SERVICES AGREEMENT,20,Low Risk,2
TALCOTTRESOLUTIONLIFEINSURANCECO-SEPARATEACCOUNTTWELVE_04_30_2020-EX-99.8(L)-SERVICE AGREEMENT.PDF,SERVICE AGREEMENT,0,Low Risk,0
TRANSMONTAIGNEPARTNERSLLC_03_13_2020-EX-10.9-SERVICES AGREEMENT.PDF,SERVICES AGREEMENT,0,Low Risk,0
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT.PDF,SERVICE AGREEMENT,20,Low Risk,2
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT.PDF,SERVICE AGREEMENT,28,Moderate Risk,2
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT.PDF,SERVICE AGREEMENT,0,Low Risk,0
RISEEDUCATIONCAYMANLTD_04_17_2020-EX-4.23-SERVICE AGREEMENT.PDF,SERVICE AGREEMENT,0,Low Risk,0
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT.PDF,Service Agreement,0,Low Risk,0
"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT.PDF",Services Agreement,0,Low Risk,0
"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT.PDF",SERVICE AGREEMENT,10,Low Risk,1
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT.PDF,SPONSORSHIP AGREEMENT,0,Low Risk,0
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.PDF",Sponsorship Agreement,0,Low Risk,0
"HALITRON,INC_03_01_2005-EX-10.15-SPONSORSHIP AND DEVELOPMENT AGREEMENT.PDF",SPONSORSHIP AND DEVELOPMENT AGREEMENT,43,Moderate Risk,2
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT.PDF,SPONSORSHIP AGREEMENT,0,Low Risk,0
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT.PDF",SPONSORSHIP AGREEMENT,0,Low Risk,0
LOOKSMARTLTD_07_20_2012-EX-99.(D)(I)-SPONSORSHIP AGREEMENT.PDF,SPONSORSHIP AGREEMENT,0,Low Risk,0
STAMPSCOMINC_06_24_1999-EX-10.18-SPONSORSHIP AGREEMENT.PDF,Sponsorship Agreement,18,Low Risk,1
VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT.PDF,SPONSORSHIP AGREEMENT,25,Low Risk,1
XYBERNAUTCORP_07_12_2002-EX-4-SPONSORSHIP AGREEMENT.PDF,SPONSORSHIP  AGREEMENT,25,Low Risk,1
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT.PDF",CORPORATE SPONSORSHIP AGREEMENT,0,Low Risk,0
DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT.PDF,SPONSORSHIP AGREEMENT,25,Low Risk,1
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.PDF,SPONSORSHIP AGREEMENT,0,Low Risk,0
IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT.PDF,Sponsorship Agreement,25,Low Risk,1
LOGANSROADHOUSEINC_03_27_1998-EX-10.17-SPONSORSHIP AGREEMENT.PDF,SPONSORSHIP AGREEMENT,25,Low Risk,1
MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP AGREEMENT.PDF,SPONSORSHIP AGREEMENT,0,Low Risk,0
HYDRONTECHNOLOGIESINC_03_31_1997-EX-10.47-SPONSORSHIP AGREEMENT.PDF,SPONSORSHIP AGREEMENT,0,Low Risk,0
N2KINC_10_16_1997-EX-10.16-SPONSORSHIP AGREEMENT.PDF,SPONSORSHIP AGREEMENT,25,Low Risk,1
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.PDF",Sponsorship Agreement,0,Low Risk,0
VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT.PDF,SPONSORSHIP AGREEMENT,0,Low Risk,0
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT.PDF,OUTSOURCING AGREEMENT,18,Low Risk,1
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT.PDF,Outsourcing Agreement,18,Low Risk,1
CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT.PDF,Services Outsourcing Agreement,18,Low Risk,1
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement.PDF,Network Management Outsourcing Agreement,0,Low Risk,0
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT.PDF,MANUFACTURING OUTSOURCING AGREEMENT,0,Low Risk,0
SYKESHEALTHPLANSERVICESINC_04_24_1998-EX-10.14-OUTSOURCING AGREEMENT.PDF,OUTSOURCING AGREEMENT,25,Low Risk,1
TRICITYBANKSHARESCORP_05_15_1998-EX-10-OUTSOURCING AGREEMENT.PDF,Outsourcing Agreement,18,Low Risk,1
OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT.PDF,TECHNOLOGY OUTSOURCING AGREEMENT,53,High Risk,3
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT.PDF,OUTSOURCING AGREEMENT,0,Low Risk,0
HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT.PDF,PHOTO RETOUCHING OUTSOURCING AGREEMENT,25,Low Risk,1
MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT.PDF,Outsourcing Base Agreement,28,Moderate Risk,2
NEXSTARFINANCEHOLDINGSINC_03_27_2002-EX-10.26-OUTSOURCING AGREEMENT.PDF,OUTSOURCING AGREEMENT,18,Low Risk,1
"OASYSMOBILE,INC_07_05_2001-EX-10.17-OUTSOURCING AGREEMENT.PDF","ASP and Outsourcing Agreement

Order Form",36,Moderate Risk,2
"UNITEDNATIONALBANCORP_03_03_1999-EX-99-Outsourcing Agreement with the BISYS Group, Inc..PDF","United National Bancorp Enters Into Outsourcing Agreement with the BISYS Group, Inc.",0,Low Risk,0
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement.PDF,Reseller Agreement,36,Moderate Risk,2
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT.PDF,Distribution Agreement,43,Moderate Risk,2
MTITECHNOLOGYCORP_11_16_2004-EX-10.102-Reseller Agreement Premier Addendum.PDF,RESELLER AGREEMENT,0,Low Risk,0
"OMINTO,INC_03_29_2004-EX-10-RESELLER AGREEMENT.PDF",RESELLER AGREEMENT,0,Low Risk,0
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2.pdf,Amendment n° 01   to the Global Maintenance Agreement ref. DS/C-3957/14 Issue 7,0,Low Risk,0
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1.pdf,GLOBAL MAINTENANCE AGREEMENT (,25,Low Risk,1
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2.pdf,"Customization Schedule

Software License, Customization and Maintenance Agreement",0,Low Risk,0
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3.pdf,"SCHEDULE TO Software License, Customization and Maintenance Agreement",0,Low Risk,0
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.pdf,"Product License Schedule

Software License, Customization and Maintenance Agreement",0,Low Risk,0
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1.pdf," Software License, Customization and Maintenance Agreement",18,Low Risk,1
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT1.pdf,AGENCY AGREEMENT,25,Low Risk,1
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT2.pdf,AGENTS’ CERTIFICATE,0,Low Risk,0
MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT.PDF,Supply Agreement,25,Low Risk,1
SEASPINEHOLDINGSCORP_10_10_2018-EX-10.1-SUPPLY AGREEMENT.PDF,SUPPLY AGREEMENT,43,Moderate Risk,2
PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT.PDF,SUPPLY AGREEMENT,18,Low Risk,1
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.PDF",SUPPLY AGREEMENT,0,Low Risk,0
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement.PDF",Supply Agreement,0,Low Risk,0
FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT.PDF,SUPPLY AGREEMENT,0,Low Risk,0
GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT.PDF,TRANSPORTATION CONTRACT  GENERAL CONDITIONS,0,Low Risk,0
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT.PDF,TRANSPORTATION SERVICE AGREEMENT,18,Low Risk,1
DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT.PDF,MARKETING AND TRANSPORTATION SERVICES AGREEMENT,53,High Risk,3
MPLXLP_06_17_2015-EX-10.1-TRANSPORTATION SERVICES AGREEMENT.PDF,TRANSPORTATION SERVICES AGREEMENT,0,Low Risk,0
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT.PDF,TRANSPORTATION CONTRACT,0,Low Risk,0
KENTUCKYUTILITIESCO_03_25_2003-EX-10.65-TRANSPORTATION AGREEMENT.PDF,GAS TRANSPORTATION AGREEMENT,0,Low Risk,0
MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT.PDF,Collaboration Agreement,43,Moderate Risk,2
CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement.PDF,Cooperation Agreement,0,Low Risk,0
IDREAMSKYTECHNOLOGYLTD_07_03_2014-EX-10.39-Cooperation Agreement on Mobile Game Business.PDF,Cooperation Agreement,0,Low Risk,0
TUNIUCORP_03_06_2014-EX-10-COOPERATION AGREEMENT.PDF,Cooperation Agreement (2014 Amendment),25,Low Risk,1
SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement.PDF,Collaboration Agreement,18,Low Risk,1
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT.PDF",COLLABORATION AGREEMENT,28,Moderate Risk,2
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.PDF,Intellectual Property Agreement,25,Low Risk,1
"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT.PDF",Promotion Agreement,18,Low Risk,1
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC..PDF",PROMOTION AGREEMENT,25,Low Risk,1
ON4COMMUNICATIONSINC_07_02_2009-EX-10.1-PROMOTION AGREEMENT.PDF,PROMOTION AGREEMENT,25,Low Risk,1
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT.PDF",Promotion and Distribution Agreement,0,Low Risk,0
GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement.PDF,Promotion Agreement,25,Low Risk,1
QBIOMEDINC_04_08_2020-EX-99.1-JOINT FILING AGREEMENT.PDF,JOINT FILING AGREEMENT,0,Low Risk,0
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.PDF,JOINT VENTURE AGREEMENT,0,Low Risk,0
"MFAFINANCIAL,INC_07_06_2020-EX-99.D-JOINT FILING AGREEMENT.PDF",JOINT FILING AGREEMENT,0,Low Risk,0
"TALLGRASSENERGY,LP_02_20_2020-EX-99.26-JOINT FILING AGREEMENT.PDF",JOINT FILING AGREEMENT,0,Low Risk,0
"GALERATHERAPEUTICS,INC_02_14_2020-EX-99.A-JOINT FILING AGREEMENT.PDF",JOINT FILING AGREEMENT,0,Low Risk,0
CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement.PDF,Strategic Alliance Agreement,0,Low Risk,0
"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement.PDF",Strategic Alliance Agreement,0,Low Risk,0
PLAYAHOTELS&RESORTSNV_03_14_2017-EX-10.22-STRATEGIC ALLIANCE AGREEMENT (Hyatt Ziva Cancun).PDF,STRATEGIC ALLIANCE AGREEMENT,0,Low Risk,0
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT.PDF,Cooperation Agreement,0,Low Risk,0
XENCORINC_10_25_2013-EX-10.24-COLLABORATION AGREEMENT (3).PDF,COLLABORATION AGREEMENT,25,Low Risk,1
IMMUNOMEDICSINC_08_07_2019-EX-10.1-PROMOTION AGREEMENT.PDF,PROMOTION AGREEMENT,28,Moderate Risk,2
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT.PDF,Joint Venture Agreement,25,Low Risk,1
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.PDF,JOINT FILING AGREEMENT,0,Low Risk,0
"MJBIOTECH,INC_12_06_2018-EX-99.01-JOINT VENTURE AGREEMENT.PDF",JOINT VENTURE AGREEMEN,18,Low Risk,1
"ONEMAINHOLDINGS,INC_02_20_2020-EX-99.D-JOINT FILING AGREEMENT.PDF",JOINT FILING AGREEMENT,0,Low Risk,0
"MACY'S,INC_05_11_2020-EX-99.4-JOINT FILING AGREEMENT.PDF",JOINT FILING AGREEMENT,0,Low Risk,0
BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT.PDF,JOINT FILING AGREEMENT,0,Low Risk,0
NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT.PDF,JOINT FILING AGREEMENT,0,Low Risk,0
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT.PDF",JOINT FILING STATEMENT,0,Low Risk,0
"PRECIGEN,INC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.PDF",JOINT FILING AGREEMENT,0,Low Risk,0
"SPRINGBANKPHARMACEUTICALS,INC_04_08_2020-EX-99.A-JOINT FILING AGREEMENT.PDF",JOINT FILING AGREEMENT,0,Low Risk,0
ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT.PDF,JOINT FILING AGREEMENT,0,Low Risk,0
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT.PDF,Promotion Agreement,0,Low Risk,0
KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT.PDF,PROMOTION AGREEMENT,43,Moderate Risk,2
"KNOWLABS,INC_08_15_2005-EX-10-INTELLECTUAL PROPERTY AGREEMENT.PDF",INTELLECTUAL PROPERTY AGREEMENT,18,Low Risk,1
INGEVITYCORP_05_16_2016-EX-10.5-INTELLECTUAL PROPERTY AGREEMENT.PDF,INTELLECTUAL PROPERTY AGREEMENT,18,Low Risk,1
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC..PDF",INTELLECTUAL PROPERTY AGREEMENT,61,High Risk,3
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement2.pdf,"AMENDMENT TO SECTION 2, PART B OF THE CO-BRANDING AGREEMENT",0,Low Risk,0
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement3.pdf,SECOND AMENDMENT TO CO-BRANDING AGREEMENT,0,Low Risk,0
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1.pdf,CO-BRANDING AGREEMENT,0,Low Risk,0
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement2.pdf,GUARANTEES OF MASTER FRANCHISE AGREEMENT,0,Low Risk,0
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3.pdf,Attachment C to Master Franchise Agreement   MULTI-STATE ADDENDUM   CALIFORNIA APPENDIX,0,Low Risk,0
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1.pdf,MASTER FRANCHISE AGREEMENT,63,High Risk,4
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement4.pdf,ADDENDUM REQUIRED BY THE DEPARTMENT OF LAW OF THE STATE OF NEW YORK,0,Low Risk,0
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.PDF,SERVICES AGREEMENT,0,Low Risk,0
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_SECONDAMENDMENT.pdf,SECOND AMENDMENT TO SERVICES AGREEMENT,0,Low Risk,0
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_POWEROF.pdf,LIMITED POWER OF ATTORNEY,0,Low Risk,0
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_AMENDMENT.pdf,AMENDMENT TO SERVICES AGREEMENT,0,Low Risk,0
WESTERN COPPER - NON-COMPETITION AGREEMENT.PDF,NON COMPETITION AGREEMENT AND RIGHT OF FIRST OFFER,0,Low Risk,0
"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT.PDF",COLLABORATION AGREEMENT (“,43,Moderate Risk,2
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement.PDF",Collaboration Agreement,43,Moderate Risk,2
"NOVOINTEGRATEDSCIENCES,INC_12_23_2019-EX-10.1-JOINT VENTURE AGREEMENT.PDF",JOINT VENTURE AGREEMENT,0,Low Risk,0
"TRANSPHORM,INC_02_14_2020-EX-10.12(1)-JOINT VENTURE AGREEMENT.PDF",JOINT VENTURE AGREEMENT,0,Low Risk,0
VALENCETECHNOLOGYINC_02_14_2003-EX-10-JOINT VENTURE CONTRACT.PDF,JOINT VENTURE CONTRACT,0,Low Risk,0
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT.PDF",NON-COMPETITION AGREEMENT AMENDMENT NO. 1,0,Low Risk,0
Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT.PDF,NON-COMPETITION AND NON-SOLICITATION AGREEMENT,10,Low Risk,1
MOELIS&CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT.PDF,STRATEGIC ALLIANCE AGREEMENT,20,Low Risk,2
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT.PDF,STRATEGIC ALLIANCE AGREEMENT,63,High Risk,4
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT.PDF",JOINT VENTURE AGREEMENT,0,Low Risk,0
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT.PDF","AMENDMENT AND TERMINATION 

OF 

JOINT VENTURE AGREEMENT",0,Low Risk,0
"KIROMICBIOPHARMA,INC_04_08_2020-EX-10.28-JOINT VENTURE AGREEMENT.PDF",JOINT VENTURE AGREEMENT,43,Moderate Risk,2
IMPCOTECHNOLOGIESINC_04_15_2003-EX-10.65-JOINT VENTURE AGREEMENT.PDF,JOINT VENTURE AGREEMENT,43,Moderate Risk,2
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.PDF,AFFILIATE AGREEMENT,0,Low Risk,0
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.PDF,AGENCY AGREEMENT,0,Low Risk,0
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.PDF,AGENCY AGREEMENT,18,Low Risk,1
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT.PDF,AGENCY AGREEMENT,0,Low Risk,0
ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT.PDF,AGENCY AGREEMENT,18,Low Risk,1
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.PDF,AGENCY AGREEMENT,53,High Risk,3
BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT.PDF,AGENCY AGREEMENT,0,Low Risk,0
BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT.PDF,AGENCY AGREEMENT,10,Low Risk,1
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT.PDF",AGENCY AGREEMENT,25,Low Risk,1
"BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT.PDF",AGENCY AGREEMENT,0,Low Risk,0
AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT.PDF,STRATEGIC ALLIANCE AGREEMENT,43,Moderate Risk,2
