filename,document_name,parties,agreement_date,effective_date,expiration_date,renewal_term,notice_period_to_terminate_renewal,governing_law,has_renewal_term,has_notice_period_to_terminate_renewal,has_expiration_date,has_effective_date,has_governing_law,non_compete,exclusivity,no_solicit_of_customers,no_solicit_of_employees,termination_for_convenience,change_of_control,anti_assignment,revenue_profit_sharing,price_restrictions,minimum_commitment,volume_restriction,ip_ownership_assignment,joint_ip_ownership,license_grant,unlimited_all_you_can_eat_license,irrevocable_or_perpetual_license,post_termination_services,audit_rights,uncapped_liability,cap_on_liability,liquidated_damages,warranty_duration,insurance
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,"Global Music International, Inc. d/b/a Independent Music Network (""IMNTV""); MobileVision Communications, Ltd. (""Distributor"")",7/13/05,7/13/05,7/13/06,successive 1 year,,Florida,True,False,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement.pdf,FORM OF CONTENT LICENSE AGREEMENT,"Beijing Sun Seven Stars Culture Development Limited (""Licensor""); YOU ON DEMAND HOLDINGS, INC (""Licensee"")",[]/[]/2015,[]/[]/2015,[]/[]/2035,,,New York,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False
MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.pdf,                CONTENT LICENSE AGREEMENT,"Digicorp, Inc. (""Company""); New China Media LLC ((a/k/a New China Media LLC) (""NCM""); YGP, LLC (""YGP""); TWK Holdings, LLC. (""TWK""); (NCM, YGP and TWK individually and collectively referred to as ""CONTENT PROVIDER"")(COMPANY and CONTENT PROVIDER are hereinafter sometimes collectively referred to as the ""Parties"")",6/2/08,6/2/08,6/2/10,successive 2 years,90 days,California,True,True,True,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,"PACIFICAP ENTERTAINMENT (""Licensor""); THE HENRY FILM AND ENTERTAINMENT CORPORATION (""Licensee"")",11/3/05,,,successive 3 years,60) days,California,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement.pdf,Program Content License Agreement,"Phoenix Satellite Television Company Limited (""Party A""""Phoenix Satellite TV""); Beijing Tianying Jiuzhou Network Technology Co., Ltd (""Party B"")",11/24/09,11/24/09,11/24/14,,,People's Republic of China,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement.pdf,  CONTENT LICENSE AGREEMENT,"World Book, Inc. (""World Book""); HSW International, Inc. (""HSWI"")",9/17/08,9/17/08,,,,New York,False,False,False,True,True,True,True,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,True,True,True,False,False,False
WatchitMediaInc_20061201_8-K_EX-10.1_4148672_EX-10.1_Content License Agreement.pdf,Media Content and License Agreement,Watchit Media; Oceanic Time Warner Cable,,09/01/2006; 8/31/2007,12/31/06,,,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
XinhuaSportsEntertainmentLtd_20070221_F-1_EX-99.4_645553_EX-99.4_Content License Agreement.pdf,                            CONTENT LICENSE AGREEMENT,"CHINA ECONOMIC INFORMATION SERVICE OF XINHUA NEWS AGENCY (""CEIS""); XINHUA FINANCIAL NETWORK LIMITED (""XFN"")",12/15/01,5/18/00,5/18/20,10 years,,Hong Kong,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,"Emdeon Corporation (""Emdeon""); WebMD, Inc. (""WebMD"")",10/1/05,10/1/05,8/31/06,1 year,,New York,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
ScansourceInc_20190509_10-Q_EX-10.2_11661422_EX-10.2_Distributor Agreement.pdf,"ADDENDUM TO 

ZEBRA® PARTNERCONNECT DISTRIBUTOR AGREEMENT","Zebra Technologies International, LLC (""Zebra""), Zebra Technologies do Brasil - Comércio de Produtos de Informåtica Ltda.(""Zebra Brazil""), Xplore Technologies Corporation of America (""Xplore""), (Zebra, Zebra Brazil and Explore collectively as ""Zebra""); ScanSource, Inc. (""ScanSource""), ScanSource Latin America, Inc. (""ScanSource Latin America""), ScanSource Brazil Distribuidora de Technologias, Ltda. ""ScanSource Brazil""), SCANSOURCE DE MEXICO S. DE R.L. DE C.V. (""ScanSource Mexico"") ,(""ScanSource"", ""ScanSource Latin America"" , ""ScanSource Brazil"" and ScanSource Mexico collectively ""Distributor"")(""Zebra"" and the ""Distributor"" are referred to collectively as 'Parties"" and individually as a ""Party"")",2/4/19,2/4/19,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ScansourceInc_20190822_10-K_EX-10.39_11793959_EX-10.39_Distributor Agreement.pdf,AMENDMENT NO. 3 TO THE NONEXCLUSIVE VALUE ADDED DISTRIBUTOR AGREEMENT,"Cisco Systems, Inc. (""Cisco""); ScanSource, Inc. (""Distributor"")",8/4/10,,1/20/12,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement.pdf,DISTRIBUTOR AGREEMENT,"Co-Diagnostics, Inc. (""Principal""); PreCheck Health Services, Inc. (""Distributor"")",3/19/20,,3/18/21,,,Texas,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,EXCLUSIVE DISTRIBUTOR AGREEMENT,"SMART RX SYSTEMS, INC. (""Company""); A3 DEVELOPMENT GROUP, LLC (""Distributor"")",5/17/17,,5/17/22,successive 1 year,180 days,Texas,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True
StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement.pdf,DISTRIBUTORSHIP AGREEMENT,"STARAR SURGICAL AG (""STAAR""); Distributor (""Distributor"")",,,,successive 1 year,,California,True,False,False,False,True,True,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,True,False,True,True
ZogenixInc_20190509_10-Q_EX-10.2_11663313_EX-10.2_Distributor Agreement.pdf,DISTRIBUTORSHIP AGREEMENT,"ZOGENIX, INC. (""Zogenix""); Nippon Shinyaku Company, Ltd. (""Distributor"")(""Party"" and collectively as the ""Parties"")",3/18/19,3/18/19,9/1/45,,,New York,False,False,True,True,True,True,True,False,False,True,True,True,True,False,False,False,True,True,True,False,True,True,True,True,True,False,False,True
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement.pdf,INTELLECTUAL PROPERTY AGREEMENT,"Armstrong Flooring, Inc. (""Seller""); AFI Licensing LLC, (""Licensing"" and together with Seller, ""Arizona""); AHF Holding, Inc. (formerly known as Tarzan HoldCo, Inc.)(""Buyer""); Armstrong Hardwood Flooring Company (""Company""and together with Buyer the ""Buyer Entities"")(each of Arizona and the Buyer Entities, a ""Party"" and collectively, the ""Parties"")",12/31/18,12/31/18,Perpetual,,,Delaware,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1.pdf,WIRELESS CONTENT LICENSE AGREEMENT,"Twentieth Century Fox Licensing & Merchandising (""Fox""); Sorrent, Inc (""Licensee"")(""parties"" and each individually as a ""party)",12/16/04,12/16/04,12/31/06,,,California,False,False,True,True,True,False,True,False,False,False,True,True,True,False,True,True,True,False,True,False,False,True,True,False,True,True,False,False
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2.pdf,"AMENDMENT NO. 1

Wireless Content License Agreement Number 12965","Fox Mobile Entertainment (""Fox""); Glu Mobile, Inc. f/k/a Sorrent, Inc. (""Licensee"")",11/18/05,,,,,,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement3.pdf,"AMENDMENT NO. 2

Wireless Content License Agreement Number 12965","Fox Mobile Entertainment, Inc. (""Fox""); Glu Mobile, Inc. f/k/a Sorrent, Inc. (""Licensee"")",3/27/06,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4.pdf,"AMENDMENT NO. 3

Wireless Content License Agreement Number 12965","Fox Mobile Entertainment, Inc. (""Fox""); Glu Mobile Inc. (""Licensee"")",2/19/07,,12/31/06,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1.pdf,DOMAIN NAME AND CONTENT LICENSE AGREEMENT,"Beijing SINA Internet Information Service Co., Ltd (""Licensor""); Beijing Yisheng Leju Information Services Co., Ltd (""Licensee"" and together with Licensor, the ""Parties"" and each a ""Party"")",,,,,,People's Republic of China,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement2.pdf,MUTUAL TERMINATION AGREEMENT,"Beijing SINA Internet Information Service Co. (""Beijing SINA""); Shanghai SINA Leju Information Technology Co. Ltd. (""SINA Leju"")",[]/[]/2009,,,,,People's Republic of China,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PapaJohnsInternationalInc_20190617_8-K_EX-10.1_11707365_EX-10.1_Endorsement Agreement.pdf,ENDORSEMENT AGREEMENT,"ABG-Shaq, LLC (""ABG""); Papa John's Marketing Fund, Inc (""PJMF""); Papa John's International, Inc (""PJI"")(PJMF and PJI individually and collectively, ""PAPA JOHN'S"")",3/15/19,3/15/19,3/15/22,,,Delaware,False,False,True,True,True,False,True,False,False,False,False,True,False,False,True,True,True,False,True,False,True,True,False,False,True,False,False,True
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3.pdf,SAMPLE OF NON-DISCLOSURE AND NON-COMPETITION AGREEMENT,"[] (""Franchisee""); [] (""Member"")",[]/[]/20[],,,,,,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1.pdf,FORM OF FRANCHISE AGREEMENT,"Pizza Fusion Holding, Inc. (""we"", ""us"", ""our""); the individual or legal entity identified on the cover page (""Franchisee"", ""You"", ""your"")",,,,10 years,,Florida,True,False,False,False,True,True,False,True,True,True,True,True,True,False,True,False,True,False,True,False,False,True,True,False,True,True,False,True
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1.pdf,"  CONTENT LICENSE, MARKETING AND SALES AGREEMENT","eFashion Solutions LLC (""EFS""); Playboy.com, Inc. (""Client"", which shall include  affiliates controlling, controlled by or under common control with Playboy.com, Inc.)",1/15/08,1/15/08,2/28/13,3 years,,Illinois,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement2.pdf,SUPPLIER/SUBCONTRACTOR CONTRACT,"Playboy.com, Inc. (""Purchaser""); Supplier",,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1.pdf,NONEXCLUSIVE VALUE ADDED DISTRIBUTOR AGREEMENT,"ScanSource, Inc. (""Distributor""); Cisco Systems, Inc. (""Cisco"")",1/22/07,1/22/07,1/22/09,1 year,,New York,True,False,True,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,True,True,True,False,True,True
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2.pdf,Software License Agreement [v.08.05.03],"Customer; Cisco Systems, Inc. or its subsidiaries licensing the Software instead of Cisco Systems (""Cisco""); Customer",,,perpetual,,,California,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.pdf,SOFTWARE DEVELOPMENT AGREEMENT,"DOT COM LLC (""Developer""); Pelican Delivers Inc. (""Client"")(""Party"", and collectively as the ""Parties"")",12/3/18,12/3/18,perpetual,,,,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement1.pdf,"STATEMENT OF WORK - APPENDIX A

Software Development Agreement","SEATTLE SOFTWARE DEVELOPERS, Inc. (""Developer""); PELICAN DELIVERS INC. (""Client"")",,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1.pdf,MANUFACTURING AGREEMENT,"Stremicks Heritage Foods, LLC (""Heritage""); PREMIER NUTRITION CORPORATION (""Premier"")(""Party:, collectively, the ""Parties"")",7/1/17,7/1/17,12/31/22,,,California,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2.pdf,"AMENDMENT NO. 1

MANUFACTURING AGREEMENT","Stremick's Heritage Foods, LLC (""Heritage""); Premier Nutrition Corporation (""Premier"")",6/11/18,6/11/18,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4.pdf,"AMENDMENT NO. 3

 MANUFACTURING AGREEMENT","Stremicks Heritage Foods, LLC (""Heritage""); Premier Nutrition Corporation (""Premier"")",7/3/19,7/3/19,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3.pdf,"AMENDMENT NO. 2 

MANUFACTURING AGREEMENT","Stremick's Heritage Foods, LLC (""Heritage""); Premier Nutrition Corporation (""Premier""); Heritage and Premier (individually as a “Party” and collectively as the “Parties”)",10/1/18,10/1/18,12/31/21,,,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SLINGERBAGINC_05_27_2020-EX-10.7-CONSULTING AGREEMENT.PDF,CONSULTING AGREEMENT,"Slinger Bag Inc. (the ""Company""); Aitan Zacharin ( the ""Consultant"")",04/30/[],04/30/[],4/30/[][],,,New York,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.PDF",CONSULTING AGREEMENT,"Kriomic, Inc (""Company""); Gianluca Rotino (""Consultant"")",7/20/18,7/1/18,perpetual,,,Texas,False,False,True,True,True,True,False,False,False,True,False,True,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False
SPHERE3DCORP_06_24_2020-EX-10.12-CONSULTING AGREEMENT.PDF,CONSULTING AGREEMENT,"GROUPE PARAMEUS CORP (""Consultant""); Sphere 3D Corp. (""Company"")",6/1/20,6/1/20,6/1/21,1 month,5 days,New York,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT.PDF,CONSULTING AGREEMENT,"Global Technologies, Ltd (""Company""); Timothy Cabrera (""Consultant""); Company and Consultant (individually, a “Party”; collectively, the “Parties”)",1/2/20,1/2/20,1/2/21,,,Florida,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC..PDF,CONSULTING AGREEMENT,"EMERALD HEALTH NATURALS, INC (“Emerald”, “Company”); DR. GAETANO MORELLO N.D. INC (""Contractor"")",1/10/19,1/10/19,,,,"British Columbia, Canada",False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT.PDF",CONSULTING AGREEMENT,"Gunston Consulting, LLC (""CONSULTANT""); Medalist Diversified REIT, Inc. (""REIT"", ""Company""); CONSULTANT and Company (collectively the ""Parties"")",3/1/20,3/1/20,3/1/21,12 months,,Virginia,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.PDF",Consulting Agreement,"Driven Deliveries, Inc (""Company""); TruckThat LLC (""Consultant""); Company and Consultant (singularly as a “Party” or collectively as the “Parties”)",5/1/19,5/1/19,,,,California,False,False,False,True,True,True,False,True,True,True,False,True,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.PDF",CONSULTING AGREEMENT,"Aduro Biotech, Inc (""Aduro""); IREYA B.V (""Consultant"")",6/1/20,7/1/20,12/31/20,,,California,False,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
PANDIONTHERAPEUTICSHOLDCOLLC_05_22_2020-EX-10.17-CONSULTING AGREEMENT.PDF,CONSULTING AGREEMENT,"Immunotolerance, Inc. (""Company""); Alan Crane (""Consultant"")",3/27/17,,3/27/21,successive 1 year,90 days,Massachusetts,True,True,True,False,True,False,False,False,True,True,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False
"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.PDF",CONSULTING AGREEMENT,"CORAL GOLD RESOURCED LTD. (""Company""); INTERMARK CAPITAL CORP. (""Consultant"")",2/1/20,2/1/20,31/01/2025,,,"British Columbia, Canada",False,False,True,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT.PDF,FRANCHISE AGREEMENT,"Pretzel Time, Inc. doing business as Pretzel Time (""Pretzel Time""; ""FRANCHISOR""); Franchisee (""Franchisee"")",[]/[]/19[],[]/[]/19[],,5 years,6 months,Pennsylvania,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,False,True,True,True,False,True,False,False,True
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1).PDF",CONSULTING AGREEMENT,"Aduro Biotech, Inc. (""Aduro""); IREYA B.V (""Consultant"")",6/1/20,7/1/20,12/31/20,,,California,False,False,True,True,True,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT.PDF,WEB SITE HOSTING AGREEMENT,"Centrack International Inc. (""Customer""); i-on interactive Inc. (""i-on"")",4/6/99,4/1/99,10/1/99,successive 1 month,15 days,Florida,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.PDF,HOSTING AGREEMENT,"eGain Communications Corporation (""eGain""); Eliance Corporation (""Customer"")",,,,successine 1 year,30 days,California,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.PDF,Premium Managed Hosting Agreement,AstroNutrition.com; deep systems,3/1/05,3/1/05,2/28/06,,,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT.PDF,Online Hosting Agreement,"Diplomat Direct Marketing Corporation (""Diplomat""); Tadeo E-Commerce Corp. (""Tadeo"")",6/1/99,6/1/99,6/1/00,1 year,,New York,True,False,True,True,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
REGANHOLDINGCORP_03_31_2008-EX-10-LICENSE AND HOSTING AGREEMENT.PDF,LICENSE AND HOSTING AGREEMENT,"Transaction Applications Group, Inc. (""TAG""); Legacy Marketing Group, Inc. (""LMG"")",10/17/07,10/17/07,,,,Georgia,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,True
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT.PDF,Franchise Agreement,"BW-3 FRANCHISE SYSTEMS, INC. (""Franchisor"", ""we"" or ""us""); Franchisee (""you"")",[]/[]/19[],,,2 successive 5 years,3 months,THE STATE IN WHICH THE FRANCHISED RESTAURANT IS LOCATED; THE UNITED STATES TRADEMARK ACT OF 1946,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT.PDF,AGENCY AGREEMENT,"The Bon-Ton Stores, Inc. and its associated chapter 11 debtors inpossession (collectively, “Merchant”); GA Retail, Inc. (“GA”); Tiger Capital Group, LLC (“Tiger” and collectively with GA, the “Agent”); Wilmington Savings Fund Society, FSB (the “Notes Trustee” and collectively with Agent, “Purchaser”); Purchaser and Merchant (collectively the “Parties”)",4/18/18,,,,,Delaware,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True
"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009.PDF",AGENCY AGREEMENT,"Athens Bancshares Corporation (the ""Company""); Athens Federal Community Bank (the ""Bank""); Keefe, bruyette & Woods, Inc. (the ""Agent"")",[]/[]/2009,,,,,New York,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
"XACCT Technologies, Inc.SUPPORT AND MAINTENANCE AGREEMENT.PDF",Support and Maintenance Agreement,"XACCT Technologies, Inc. (""XACCT""); [] (""Licensee"")",[]/[]/2000,[]/[]/2000,[]/[]/2001,successive 1 year,30 days,California,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement.PDF,Yield Maintenance Agreement,"Wells Fargo Bank on behalf of Wells Fargo Mortgage Backed Securities 2006-6 Trust (""Counterparty""); UBS AG (""UBS AG"")",4/27/06,4/1/06,4/1/09,,,New York,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
NETZEEINC_11_14_2002-EX-10.3-MAINTENANCE AGREEMENT.PDF,MAINTENANCE AGREEMENT,"Netzee, inc. (""Netzee""); The Bankers Bank (""Bankers Bank"")",,3/1/01,3/1/02,successive 1 year,,,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT.PDF,MAINTENANCE AGREEMENT,"SAGEM S.A. (""MORPHO""); XIMAGE corporation (""XIMAGE"")",1/31/94,12/10/93,12/10/94,successive 1 year,60 days,,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.PDF,Services Agreement,"[ * * * ] (""Provider""); TELCOSTAR PTE, LTD.; Ability Computer & Software Industries Ltd; TELCOSTAR PTE, LTD. and Ability Computer & Software Industries Ltd (each and both of them ""Recipient""); Each of the foregoing parties is referred to herein as a “Party” and together as the “Parties”.",10/1/19,11/1/19,12/31/20,,,Israel,False,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT.PDF,SERVICING AGREEMENT,"Nationwide Fund Management LLC (""Nationwide""); American United Life Insurance Company and OneAmerica Securities, Inc. (collectively referred to as ""Servicing Agent"", ""you"", or ""your"")",[]/[]/20[],[]/[]/20[],,,,Delaware,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT.PDF,SERVICING AGREEMENT,"CURO RECEIVABLES FINANCE II, LLC (""Owner""); CURO MANAGEMENT, LLC (""Servicer"")",4/8/20,,perpetual,,,New York,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT.PDF,SERVICE AGREEMENT FOR TRANSFER AGENT SERVICES,"Blackstone / GSO Long-Short Credit Income Fund (""Client""); Mellon Investor Services LLC operating with the service name BNY Mellon Shareowner Services (""Agent"")",1/26/11,,1/26/14,successive 3 years,60 days,New York,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
